Source,CH1,CH2
Second,Volt,Volt
-0.00427280000,0.00,-0.32800
-0.00427200000,0.01000,-0.33600
-0.00427120000,-0.00400,-0.33600
-0.00427040000,0.00,-0.32800
-0.00426960000,0.00200,-0.33600
-0.00426880000,0.00600,-0.33600
-0.00426800000,0.00200,-0.33600
-0.00426720000,-0.00200,-0.33600
-0.00426640000,0.00600,-0.33600
-0.00426560000,0.00800,-0.33600
-0.00426480000,0.00400,-0.32800
-0.00426400000,0.00200,-0.32800
-0.00426320000,0.00,-0.33600
-0.00426240000,0.01000,-0.32800
-0.00426160000,0.00800,-0.32800
-0.00426080000,0.00600,-0.32800
-0.00425999969,0.00,-0.33600
-0.00425919969,0.00800,-0.33600
-0.00425839969,0.01600,-0.33600
-0.00425759969,0.00600,-0.32800
-0.00425679969,0.00400,-0.33600
-0.00425600031,0.00600,-0.33600
-0.00425520031,0.01400,-0.33600
-0.00425440031,0.01000,-0.32800
-0.00425360031,0.00800,-0.32800
-0.00425280031,0.00200,-0.32800
-0.00425200031,0.01000,-0.33600
-0.00425120031,0.01600,-0.33600
-0.00425040031,0.00800,-0.33600
-0.00424960031,0.00800,-0.33600
-0.00424880031,0.00800,-0.33600
-0.00424800031,0.01600,-0.33600
-0.00424720031,0.00800,-0.33600
-0.00424640031,0.00800,-0.33600
-0.00424560031,0.01400,-0.32800
-0.00424480031,0.01200,-0.33600
-0.00424400031,0.01600,-0.33600
-0.00424320031,0.00600,-0.33600
-0.00424240031,0.01400,-0.33600
-0.00424160031,0.02000,-0.33600
-0.00424080031,0.01600,-0.33600
-0.00424000000,0.01200,-0.32800
-0.00423920000,0.01000,-0.33600
-0.00423840000,0.01800,-0.33600
-0.00423760000,0.01800,-0.33600
-0.00423680000,0.01200,-0.33600
-0.00423600000,0.01000,-0.33600
-0.00423520000,0.01800,-0.33600
-0.00423440000,0.02000,-0.33600
-0.00423360000,0.01200,-0.33600
-0.00423280000,0.01400,-0.32800
-0.00423200000,0.02000,-0.32800
-0.00423120000,0.02400,-0.33600
-0.00423040000,0.01600,-0.32800
-0.00422960000,0.01600,-0.33600
-0.00422880000,0.01800,-0.32800
-0.00422800000,0.01800,-0.33600
-0.00422720000,0.02400,-0.32800
-0.00422640000,0.01200,-0.32800
-0.00422560000,0.02200,-0.33600
-0.00422480000,0.02400,-0.33600
-0.00422400000,0.02200,-0.32800
-0.00422320000,0.01800,-0.32800
-0.00422240000,0.01800,-0.33600
-0.00422160000,0.02600,-0.32800
-0.00422080000,0.02400,-0.33600
-0.00422000000,0.01800,-0.33600
-0.00421920000,0.01800,-0.33600
-0.00421840000,0.02400,-0.32800
-0.00421760000,0.02800,-0.33600
-0.00421680000,0.02400,-0.33600
-0.00421600000,0.02200,-0.33600
-0.00421520000,0.02200,-0.33600
-0.00421440000,0.03200,-0.33600
-0.00421360000,0.02400,-0.32800
-0.00421280000,0.02400,-0.33600
-0.00421200000,0.02400,-0.33600
-0.00421120000,0.03000,-0.33600
-0.00421040000,0.02600,-0.33600
-0.00420960000,0.02000,-0.32800
-0.00420880000,0.02400,-0.33600
-0.00420800000,0.03200,-0.33600
-0.00420720000,0.02800,-0.33600
-0.00420640000,0.02400,-0.33600
-0.00420560000,0.02200,-0.33600
-0.00420480000,0.03200,-0.33600
-0.00420400000,0.03200,-0.33600
-0.00420320000,0.02800,-0.33600
-0.00420240000,0.02000,-0.33600
-0.00420160000,0.02800,-0.33600
-0.00420080000,0.03000,-0.32800
-0.00420000000,0.03000,-0.33600
-0.00419920000,0.02600,-0.33600
-0.00419839969,0.02800,-0.33600
-0.00419759969,0.03200,-0.32800
-0.00419679969,0.03200,-0.33600
-0.00419599969,0.02800,-0.32800
-0.00419520031,0.02600,-0.32800
-0.00419440031,0.03200,-0.33600
-0.00419360031,0.03200,-0.33600
-0.00419280031,0.02600,-0.33600
-0.00419200031,0.03000,-0.32800
-0.00419120031,0.03200,-0.32800
-0.00419040031,0.03400,-0.33600
-0.00418960031,0.03000,-0.32800
-0.00418880031,0.03000,-0.33600
-0.00418800031,0.03200,-0.33600
-0.00418720031,0.03200,-0.33600
-0.00418640031,0.03200,-0.33600
-0.00418560031,0.03000,-0.33600
-0.00418480031,0.03400,-0.33600
-0.00418400031,0.03400,-0.32800
-0.00418320031,0.03800,-0.33600
-0.00418240031,0.03200,-0.33600
-0.00418160031,0.03200,-0.33600
-0.00418080031,0.03800,-0.33600
-0.00418000031,0.03800,-0.33600
-0.00417920031,0.03200,-0.33600
-0.00417840000,0.03200,-0.33600
-0.00417760000,0.04000,-0.33600
-0.00417680000,0.04000,-0.33600
-0.00417600000,0.03200,-0.33600
-0.00417520000,0.03600,-0.33600
-0.00417440000,0.03600,-0.33600
-0.00417360000,0.04600,-0.33600
-0.00417280000,0.03200,-0.33600
-0.00417200000,0.03400,-0.33600
-0.00417120000,0.04000,-0.33600
-0.00417040000,0.04000,-0.33600
-0.00416960000,0.04200,-0.32800
-0.00416880000,0.03200,-0.33600
-0.00416800000,0.03600,-0.33600
-0.00416720000,0.04200,-0.33600
-0.00416640000,0.04400,-0.32800
-0.00416560000,0.03800,-0.33600
-0.00416480000,0.03600,-0.33600
-0.00416400000,0.04200,-0.33600
-0.00416320000,0.04400,-0.33600
-0.00416240000,0.04200,-0.33600
-0.00416160000,0.03600,-0.33600
-0.00416080000,0.04000,-0.33600
-0.00416000000,0.04600,-0.33600
-0.00415920000,0.04000,-0.33600
-0.00415840000,0.04000,-0.32800
-0.00415760000,0.03800,-0.33600
-0.00415680000,0.05000,-0.33600
-0.00415600000,0.04600,-0.32800
-0.00415520000,0.04400,-0.33600
-0.00415440000,0.03800,-0.33600
-0.00415360000,0.04800,-0.33600
-0.00415280000,0.04600,-0.33600
-0.00415200000,0.04400,-0.32800
-0.00415120000,0.04400,-0.33600
-0.00415040000,0.03800,-0.32800
-0.00414960000,0.04800,-0.32800
-0.00414880000,0.05400,-0.33600
-0.00414800000,0.04600,-0.33600
-0.00414720000,0.04200,-0.33600
-0.00414640000,0.04400,-0.33600
-0.00414560000,0.05400,-0.33600
-0.00414480000,0.04800,-0.33600
-0.00414400000,0.04200,-0.33600
-0.00414320000,0.04800,-0.33600
-0.00414240000,0.05200,-0.33600
-0.00414160000,0.05000,-0.32800
-0.00414080000,0.04600,-0.33600
-0.00414000000,0.04800,-0.33600
-0.00413920000,0.05200,-0.33600
-0.00413840000,0.05400,-0.33600
-0.00413759969,0.04600,-0.33600
-0.00413679969,0.05200,-0.33600
-0.00413599969,0.05200,-0.33600
-0.00413519969,0.05600,-0.33600
-0.00413439969,0.05200,-0.33600
-0.00413360031,0.04600,-0.33600
-0.00413280031,0.05400,-0.33600
-0.00413200031,0.05800,-0.33600
-0.00413120031,0.05400,-0.33600
-0.00413040031,0.04800,-0.33600
-0.00412960031,0.05400,-0.33600
-0.00412880031,0.06200,-0.33600
-0.00412800031,0.05600,-0.33600
-0.00412720031,0.05400,-0.32800
-0.00412640031,0.05000,-0.33600
-0.00412560031,0.05800,-0.33600
-0.00412480031,0.05800,-0.32800
-0.00412400031,0.05600,-0.32800
-0.00412320031,0.05200,-0.33600
-0.00412240031,0.05400,-0.32800
-0.00412160031,0.06200,-0.32800
-0.00412080031,0.06000,-0.32800
-0.00412000031,0.05400,-0.33600
-0.00411920031,0.05400,-0.33600
